pd,ps,n,time,total_cells,active_cells,stem_cells,active_stem_cells
0.2,0.5,3,4,8,8,2,2
0.2,0.5,3,5,16,16,1,1
0.2,0.5,3,6,32,32,2,2
0.2,0.5,3,7,60,56,3,2
0.2,0.5,3,8,112,104,4,2
0.2,0.5,3,9,186,148,4,2
0.2,0.5,3,10,297,222,5,3
0.2,0.8,7,1,1,1,1,1
0.2,0.8,7,2,2,2,2,2
0.2,0.8,7,3,4,4,2,2
0.2,0.8,7,4,8,8,4,4
0.2,0.8,7,5,16,16,6,6
0.2,0.8,7,6,32,32,10,10
0.2,0.8,7,7,61,58,13,12
0.2,0.8,7,8,108,94,16,12
0.2,0.8,7,9,185,154,18,12
0.2,0.8,7,10,295,220,23,14
0.2,0.5,0,1,1,1,1,1
0.2,0.5,0,2,2,2,2,2
0.2,0.5,0,3,4,4,2,2
0.2,0.5,0,4,8,8,3,3
0.2,0.5,0,5,16,16,4,4
0.2,0.5,0,6,32,32,7,7
0.2,0.5,0,7,62,60,8,8
0.2,0.5,0,8,112,100,10,9
0.2,0.5,0,9,191,158,10,7
0.2,0.5,0,10,305,228,13,8
0.4,0.5,2,1,1,1,1,1
0.4,0.5,2,2,2,2,0,0
0.4,0.5,2,3,4,4,0,0
0.4,0.5,2,4,8,8,0,0
0.4,0.5,2,5,16,16,0,0
0.4,0.5,2,6,32,32,0,0
0.4,0.5,2,7,62,60,0,0
0.4,0.5,2,8,110,96,0,0
0.4,0.5,2,9,190,160,0,0
0.4,0.5,2,10,298,216,0,0
0.4,0.5,1,1,1,1,1,1
0.4,0.5,1,2,2,2,0,0
0.4,0.5,1,3,4,4,0,0
0.4,0.5,1,4,8,8,0,0
0.4,0.5,1,5,16,16,0,0
0.4,0.5,1,6,32,32,0,0
0.4,0.5,1,7,64,64,0,0
0.4,0.5,1,8,117,106,0,0
0.4,0.5,1,9,195,156,0,0
0.4,0.5,1,10,306,222,0,0
0.4,0.3,1,1,1,1,1,1
0.4,0.3,1,2,2,2,0,0
0.4,0.3,1,3,4,4,0,0
0.4,0.3,1,4,8,8,0,0
0.4,0.3,1,5,16,16,0,0
0.4,0.3,1,6,32,32,0,0
0.4,0.3,1,7,62,60,0,0
0.4,0.3,1,8,112,100,0,0
0.4,0.3,1,9,189,154,0,0
0.4,0.3,1,10,298,218,0,0
0.2,0.3,5,1,1,1,1,1
0.2,0.3,5,2,2,2,2,2
0.2,0.3,5,3,4,4,2,2
0.2,0.3,5,4,8,8,4,4
0.2,0.3,5,5,16,16,6,6
0.2,0.3,5,6,32,32,8,8
0.2,0.3,5,7,62,60,7,7
0.2,0.3,5,8,113,102,4,3
0.2,0.3,5,9,191,156,4,1
0.2,0.3,5,10,307,232,5,2
0.4,0.8,1,1,1,1,1,1
0.4,0.8,1,2,2,2,2,2
0.4,0.8,1,3,4,4,2,2
0.4,0.8,1,4,8,8,4,4
0.4,0.8,1,5,16,16,6,6
0.4,0.8,1,6,32,32,10,10
0.4,0.8,1,7,60,56,14,12
0.4,0.8,1,8,110,100,17,12
0.4,0.8,1,9,186,152,19,12
0.4,0.8,1,10,296,220,24,14
0.4,0.5,8,1,1,1,1,1
0.4,0.5,8,2,2,2,0,0
0.4,0.5,8,3,4,4,0,0
0.4,0.5,8,4,8,8,0,0
0.4,0.5,8,5,16,16,0,0
0.4,0.5,8,6,32,32,0,0
0.4,0.5,8,7,60,56,0,0
0.4,0.5,8,8,108,96,0,0
0.4,0.5,8,9,182,148,0,0
0.4,0.5,8,10,289,214,0,0
0.2,0.8,8,1,1,1,1,1
0.2,0.8,8,2,2,2,2,2
0.2,0.8,8,3,4,4,4,4
0.2,0.8,8,4,8,8,6,6
0.2,0.8,8,5,16,16,8,8
0.2,0.8,8,6,32,32,12,12
0.2,0.8,8,7,62,60,17,16
0.2,0.8,8,8,110,96,24,20
0.2,0.8,8,9,184,148,30,20
0.2,0.8,8,10,292,216,43,28
0.6,0.8,1,1,1,1,1,1
0.6,0.8,1,2,2,2,2,2
0.6,0.8,1,3,4,4,2,2
0.6,0.8,1,4,8,8,4,4
0.6,0.8,1,5,16,16,6,6
0.6,0.8,1,6,32,32,10,10
0.6,0.8,1,7,60,56,13,12
0.6,0.8,1,8,110,100,17,14
0.6,0.8,1,9,187,154,24,18
0.6,0.8,1,10,298,222,31,18
0.4,0.3,2,1,1,1,1,1
0.4,0.3,2,2,2,2,2,2
0.4,0.3,2,3,4,4,2,2
0.4,0.3,2,4,8,8,3,3
0.4,0.3,2,5,16,16,2,2
0.4,0.3,2,6,32,32,0,0
0.4,0.3,2,7,61,58,0,0
0.4,0.3,2,8,112,102,0,0
0.4,0.3,2,9,194,164,0,0
0.4,0.3,2,10,309,230,0,0
0.6,0.8,5,1,1,1,1,1
0.6,0.8,5,2,2,2,0,0
0.6,0.8,5,3,4,4,0,0
0.6,0.8,5,4,8,8,0,0
0.6,0.8,5,5,16,16,0,0
0.6,0.8,5,6,32,32,0,0
0.6,0.8,5,7,61,58,0,0
0.6,0.8,5,8,113,104,0,0
0.6,0.8,5,9,193,160,0,0
0.6,0.8,5,10,305,224,0,0
0.6,0.3,9,1,1,1,1,1
0.6,0.3,9,2,2,2,0,0
0.6,0.3,9,3,4,4,0,0
0.6,0.3,9,4,8,8,0,0
0.6,0.3,9,5,16,16,0,0
0.6,0.3,9,6,32,32,0,0
0.6,0.3,9,7,60,56,0,0
0.6,0.3,9,8,109,98,0,0
0.6,0.3,9,9,181,144,0,0
0.6,0.3,9,10,285,208,0,0
0.6,0.3,2,1,1,1,1,1
0.6,0.3,2,2,2,2,2,2
0.6,0.3,2,3,4,4,2,2
0.6,0.3,2,4,8,8,1,1
0.6,0.3,2,5,16,16,0,0
0.6,0.3,2,6,32,32,0,0
0.6,0.3,2,7,64,64,0,0
0.6,0.3,2,8,114,100,0,0
0.6,0.3,2,9,191,154,0,0
0.6,0.3,2,10,302,222,0,0
0.4,0.3,6,1,1,1,1,1
0.4,0.3,6,2,2,2,0,0
0.4,0.3,6,3,4,4,0,0
0.4,0.3,6,4,8,8,0,0
0.4,0.3,6,5,16,16,0,0
0.4,0.3,6,6,32,32,0,0
0.4,0.3,6,7,61,58,0,0
0.4,0.3,6,8,111,100,0,0
0.4,0.3,6,9,183,144,0,0
0.4,0.3,6,10,292,218,0,0
0.2,0.8,4,1,1,1,1,1
0.2,0.8,4,2,2,2,2,2
0.2,0.8,4,3,4,4,4,4
0.2,0.8,4,4,8,8,6,6
0.2,0.8,4,5,16,16,8,8
0.2,0.8,4,6,32,32,14,14
0.2,0.8,4,7,63,62,21,20
0.2,0.8,4,8,115,104,32,26
0.2,0.8,4,9,191,152,40,28
0.2,0.8,4,10,306,230,52,34
0.6,0.3,6,1,1,1,1,1
0.6,0.3,6,2,2,2,0,0
0.6,0.3,6,3,4,4,0,0
0.6,0.3,6,4,8,8,0,0
0.6,0.3,6,5,16,16,0,0
0.6,0.3,6,6,32,32,0,0
0.6,0.3,6,7,63,62,0,0
0.6,0.3,6,8,110,94,0,0
0.6,0.3,6,9,185,150,0,0
0.6,0.3,6,10,290,210,0,0
0.6,0.8,0,1,1,1,1,1
0.6,0.8,0,2,2,2,2,2
0.6,0.8,0,3,4,4,4,4
0.6,0.8,0,4,8,8,6,6
0.6,0.8,0,5,16,16,8,8
0.6,0.8,0,6,31,30,13,12
0.6,0.8,0,7,58,54,18,16
0.6,0.8,0,8,107,98,27,24
0.6,0.8,0,9,184,154,34,28
0.6,0.8,0,10,294,220,51,36
0.4,0.3,9,1,1,1,1,1
0.4,0.3,9,2,2,2,1,1
0.4,0.3,9,3,4,4,0,0
0.4,0.3,9,4,8,8,0,0
0.4,0.3,9,5,16,16,0,0
0.4,0.3,9,6,32,32,0,0
0.4,0.3,9,7,62,60,0,0
0.4,0.3,9,8,111,98,0,0
0.4,0.3,9,9,188,154,0,0
0.4,0.3,9,10,307,238,0,0
0.6,0.5,2,1,1,1,1,1
0.6,0.5,2,2,2,2,0,0
0.6,0.5,2,3,4,4,0,0
0.6,0.5,2,4,8,8,0,0
0.6,0.5,2,5,16,16,0,0
0.6,0.5,2,6,32,32,0,0
0.6,0.5,2,7,63,62,0,0
0.6,0.5,2,8,114,102,0,0
0.6,0.5,2,9,191,154,0,0
0.6,0.5,2,10,305,228,0,0
0.2,0.8,9,1,1,1,1,1
0.2,0.8,9,2,2,2,2,2
0.2,0.8,9,3,4,4,2,2
0.2,0.8,9,4,8,8,4,4
0.2,0.8,9,5,16,16,8,8
0.2,0.8,9,6,32,32,14,14
0.2,0.8,9,7,61,58,23,22
0.2,0.8,9,8,108,94,36,32
0.2,0.8,9,9,184,152,49,38
0.2,0.8,9,10,292,216,68,46
0.6,0.8,6,1,1,1,1,1
0.6,0.8,6,2,2,2,2,2
0.6,0.8,6,3,4,4,4,4
0.6,0.8,6,4,8,8,6,6
0.6,0.8,6,5,16,16,8,8
0.6,0.8,6,6,32,32,14,14
0.6,0.8,6,7,60,56,23,22
0.6,0.8,6,8,111,102,30,28
0.6,0.8,6,9,191,160,53,46
0.6,0.8,6,10,308,234,64,44
0.4,0.8,4,1,1,1,1,1
0.4,0.8,4,2,2,2,2,2
0.4,0.8,4,3,4,4,4,4
0.4,0.8,4,4,8,8,6,6
0.4,0.8,4,5,16,16,8,8
0.4,0.8,4,6,32,32,14,14
0.4,0.8,4,7,62,60,21,20
0.4,0.8,4,8,112,100,32,26
0.4,0.8,4,9,191,158,44,32
0.4,0.8,4,10,304,226,57,38
0.6,0.8,9,1,1,1,1,1
0.6,0.8,9,2,2,2,2,2
0.6,0.8,9,3,4,4,2,2
0.6,0.8,9,4,8,8,4,4
0.6,0.8,9,5,16,16,8,8
0.6,0.8,9,6,32,32,14,14
0.6,0.8,9,7,61,58,23,22
0.6,0.8,9,8,111,100,37,34
0.6,0.8,9,9,185,148,53,40
0.6,0.8,9,10,292,214,72,46
0.6,0.5,5,1,1,1,1,1
0.6,0.5,5,2,2,2,2,2
0.6,0.5,5,3,4,4,2,2
0.6,0.5,5,4,8,8,0,0
0.6,0.5,5,5,16,16,0,0
0.6,0.5,5,6,32,32,0,0
0.6,0.5,5,7,60,56,0,0
0.6,0.5,5,8,109,98,0,0
0.6,0.5,5,9,185,152,0,0
0.6,0.5,5,10,293,216,0,0
0.2,0.5,8,1,1,1,1,1
0.2,0.5,8,2,2,2,1,1
0.2,0.5,8,3,4,4,2,2
0.2,0.5,8,4,8,8,2,2
0.2,0.5,8,5,16,16,2,2
0.2,0.5,8,6,32,32,3,3
0.2,0.5,8,7,61,58,4,4
0.2,0.5,8,8,111,100,5,4
0.2,0.5,8,9,188,154,6,4
0.2,0.5,8,10,302,228,7,2
0.4,0.5,0,1,1,1,1,1
0.4,0.5,0,2,2,2,2,2
0.4,0.5,0,3,4,4,2,2
0.4,0.5,0,4,8,8,1,1
0.4,0.5,0,5,16,16,0,0
0.4,0.5,0,6,32,32,0,0
0.4,0.5,0,7,62,60,0,0
0.4,0.5,0,8,109,94,0,0
0.4,0.5,0,9,189,160,0,0
0.4,0.5,0,10,299,220,0,0
0.4,0.3,5,1,1,1,1,1
0.4,0.3,5,2,2,2,2,2
0.4,0.3,5,3,4,4,1,1
0.4,0.3,5,4,8,8,2,2
0.4,0.3,5,5,16,16,1,1
0.4,0.3,5,6,32,32,0,0
0.4,0.3,5,7,61,58,0,0
0.4,0.3,5,8,110,98,0,0
0.4,0.3,5,9,182,144,0,0
0.4,0.3,5,10,289,214,0,0
0.4,0.3,0,1,1,1,1,1
0.4,0.3,0,2,2,2,0,0
0.4,0.3,0,3,4,4,0,0
0.4,0.3,0,4,8,8,0,0
0.4,0.3,0,5,16,16,0,0
0.4,0.3,0,6,32,32,0,0
0.4,0.3,0,7,63,62,0,0
0.4,0.3,0,8,111,96,0,0
0.4,0.3,0,9,188,154,0,0
0.4,0.3,0,10,299,222,0,0
0.2,0.3,7,1,1,1,1,1
0.2,0.3,7,2,2,2,0,0
0.2,0.3,7,3,4,4,0,0
0.2,0.3,7,4,8,8,0,0
0.2,0.3,7,5,16,16,0,0
0.2,0.3,7,6,32,32,0,0
0.2,0.3,7,7,61,58,0,0
0.2,0.3,7,8,111,100,0,0
0.2,0.3,7,9,186,150,0,0
0.2,0.3,7,10,294,216,0,0
0.6,0.3,1,1,1,1,1,1
0.6,0.3,1,2,2,2,0,0
0.6,0.3,1,3,4,4,0,0
0.6,0.3,1,4,8,8,0,0
0.6,0.3,1,5,16,16,0,0
0.6,0.3,1,6,32,32,0,0
0.6,0.3,1,7,60,56,0,0
0.6,0.3,1,8,109,98,0,0
0.6,0.3,1,9,183,148,0,0
0.6,0.3,1,10,295,224,0,0
0.2,0.8,5,1,1,1,1,1
0.2,0.8,5,2,2,2,0,0
0.2,0.8,5,3,4,4,0,0
0.2,0.8,5,4,8,8,0,0
0.2,0.8,5,5,16,16,0,0
0.2,0.8,5,6,32,32,0,0
0.2,0.8,5,7,61,58,0,0
0.2,0.8,5,8,111,100,0,0
0.2,0.8,5,9,187,152,0,0
0.2,0.8,5,10,293,212,0,0
0.4,0.8,5,1,1,1,1,1
0.4,0.8,5,2,2,2,0,0
0.4,0.8,5,3,4,4,0,0
0.4,0.8,5,4,8,8,0,0
0.4,0.8,5,5,16,16,0,0
0.4,0.8,5,6,32,32,0,0
0.4,0.8,5,7,61,58,0,0
0.4,0.8,5,8,110,98,0,0
0.4,0.8,5,9,192,164,0,0
0.4,0.8,5,10,302,220,0,0
0.6,0.8,8,1,1,1,1,1
0.6,0.8,8,2,2,2,2,2
0.6,0.8,8,3,4,4,4,4
0.6,0.8,8,4,8,8,6,6
0.6,0.8,8,5,16,16,8,8
0.6,0.8,8,6,32,32,12,12
0.6,0.8,8,7,61,58,16,16
0.6,0.8,8,8,108,94,23,20
0.6,0.8,8,9,182,148,29,20
0.6,0.8,8,10,295,226,42,26
0.2,0.5,2,1,1,1,1,1
0.2,0.5,2,2,2,2,1,1
0.2,0.5,2,3,4,4,2,2
0.2,0.5,2,4,8,8,2,2
0.2,0.5,2,5,16,16,2,2
0.2,0.5,2,6,32,32,3,3
0.2,0.5,2,7,61,58,4,4
0.2,0.5,2,8,111,100,5,4
0.2,0.5,2,9,188,154,6,4
0.2,0.5,2,10,302,228,7,2
0.2,0.3,8,1,1,1,1,1
0.2,0.3,8,2,2,2,2,2
0.2,0.3,8,3,4,4,2,2
0.2,0.3,8,4,8,8,2,2
0.2,0.3,8,5,16,16,1,1
0.2,0.3,8,6,32,32,0,0
0.2,0.3,8,7,63,62,0,0
0.2,0.3,8,8,113,100,0,0
0.2,0.3,8,9,193,160,0,0
0.2,0.3,8,10,306,226,0,0
0.4,0.8,7,1,1,1,1,1
0.4,0.8,7,2,2,2,2,2
0.4,0.8,7,3,4,4,2,2
